"type","label","hidden","current_path","proposed_path","decision","priority","rationale","replacement","courses","local_examples","evidence_scope","placement","source"
"sz_g2d_enable_classic_controls","Ativar controles clássicos %1","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:21"
"sz_g2d_action_down","a ação %1 está sendo segurada?","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:42"
"sz_g2d_action_pressed","a ação %1 acabou de ser apertada?","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:50"
"sz_g2d_on_action_pressed","Quando a ação %1 for apertada","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:58"
"sz_g2d_classic_platformer","Mover o sprite %1 como plataforma clássica, velocidade %2 pulo %3","false","Jogo 2D > 🕹️ Movimento","Movimento > Plataforma","AJUSTAR","P0","Manter chão na borda, terreno confirmado e controlador clássico com gravidade própria separados; oferecer receitas de combinações válidas.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:73"
"sz_g2d_create_vector_tileset","Criar conjunto de tiles vetoriais %1 com tiles de %2 px","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:89"
"sz_g2d_define_vector_tile","No conjunto %1 definir tile %2 com a figura %3 como %4","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:102"
"sz_g2d_create_vector_tilemap","Criar mapa vetorial %1 com o conjunto %2 e grade %3","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:128"
"sz_g2d_load_vector_campaign_level","Carregar fase %1 da campanha vetorial %2","false","Jogo 2D > 🚩 Fases","Cenários > Fases e campanha","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","resource-creator","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:142"
"sz_g2d_campaign_value","dado %1 da fase carregada (ou %2)","false","Jogo 2D > 🚩 Fases","Cenários > Fases e campanha","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:174"
"sz_g2d_for_each_tile_contact","Para cada tile que %1 toca no lado %2 do mapa %3 chamar de %4","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:187"
"sz_g2d_tile_contact_is","o contato %1 é com o tile %2?","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:217"
"sz_g2d_set_tile_at_contact","No contato %1 trocar o tile para %2","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:229"
"sz_g2d_set_enemy_stomp_mode","Ao pisar no tipo %1 usar modo %2","false","Jogo 2D > 😈 Inimigos","Inimigos > Tipos e comportamentos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:242"
"sz_g2d_update_enemy_shells","Atualizar os cascos do tipo %1 no Mundo %2","false","Jogo 2D > 😈 Inimigos","Inimigos > Tipos e comportamentos","AJUSTAR","P1","Explicar quais comportamentos cada passo avança; casco tem atualização própria e não pode ser fundido sem prova de equivalência.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:266"
"sz_g2d_draw_pixel_text","Escrever texto pixel %1 em x %2 y %3 pixel %4 cor %5 alinhado %6","false","Jogo 2D > 🏆 Placar e HUD","Vida e placar > Indicadores e texto na tela","AJUSTAR","P2","Estilo pixel não justifica automaticamente duplicação: texto pixel atualmente literal e placar computado têm contratos diferentes. Consolidar somente após expressão e layout equivalentes.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:280"
"sz_g2d_paint_shape_recipe","Desenhar receita vetorial %1","false","Jogo 2D > 🎨 Desenho","Desenho e efeitos > Figuras","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:306"
"sz_g2d_draw_pixel_score","Escrever placar pixel %1 com o valor %2 em x %3 y %4 pixel %5 cor %6","false","Jogo 2D > 🏆 Placar e HUD","Vida e placar > Indicadores e texto na tela","AJUSTAR","P2","Estilo pixel não justifica automaticamente duplicação: texto pixel atualmente literal e placar computado têm contratos diferentes. Consolidar somente após expressão e layout equivalentes.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:317"
"sz_g2d_draw_fade","Cobrir a tela com fade de %1 por cento na cor %2","false","Jogo 2D > ✨ Aparência","Desenho e efeitos > Efeitos","AJUSTAR","P1","Explicitar geração, avanço e desenho de efeitos. draw_particles também avança partículas; fade desenha cobertura, não troca tela.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:336"
"sz_g2d_paddle_bounce","Rebater a bola %1 na raquete %2 acelerando %3 por cento","false","Jogo 2D > 🕹️ Movimento","Movimento > Bordas e rebatidas","MANTER / REORGANIZAR","P1","Manter variantes: quatro bordas, par de bordas e raquete têm física e objetivos diferentes.","","","Pong","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:352"
"sz_g2d_bounce_edge_pair","Quicar o sprite %1 só %2","false","Jogo 2D > 🕹️ Movimento","Movimento > Bordas e rebatidas","MANTER / REORGANIZAR","P1","Manter variantes: quatro bordas, par de bordas e raquete têm física e objetivos diferentes.","","","Pong","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:368"
"sz_g2d_arrows_y","Mover o sprite %1 com as setas ↑ ↓, velocidade %2","false","Jogo 2D > 🕹️ Movimento","Movimento > Movimentos prontos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Pong","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:390"
"sz_g2d_stage_width","a largura da tela","false","Jogo 2D > 🎯 Mira e contas","Jogo e telas > Preparar a área do jogo","AJUSTAR","P0","Separar resolução lógica e ocupação da janela; preservar coordenadas e padrões. Preparação não pertence à aparência de um sprite.","","","Pong","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:405"
"sz_g2d_stage_height","a altura da tela","false","Jogo 2D > 🎯 Mira e contas","Jogo e telas > Preparar a área do jogo","AJUSTAR","P0","Separar resolução lógica e ocupação da janela; preservar coordenadas e padrões. Preparação não pertence à aparência de um sprite.","","","Pong","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogClassic.ts:414"
"sz_g2d_create_sprite","Criar sprite %1 em x %2 y %3 largura %4 altura %5 cor %6","false","Jogo 2D > 🎮 Sprites","Sprites > Criar e trocar aparência","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Chuva de números | Pegue a moeda | Cenário do meu desenho | Pong | Mini plataforma | Plataforma com inimigos | Mundo Pirata | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Treinador de Criaturas | Aventura com câmera","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:9"
"sz_g2d_draw_sprite","Desenhar o sprite %1","false","Jogo 2D > 🎮 Sprites","Sprites > Criar e trocar aparência","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino | Desafio primeiro jogo","Chuva de números | Quiz de números | Pegue a moeda | Cenário do meu desenho | Pong | Herói que anda | Mini plataforma | Plataforma com inimigos | Jogo desenhado por código | Sala com paredes | Nave contra Asteroides | Asteroides clássico | Dino Run | Dino Corredor | Batalha de Monstrinhos | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Fazenda Feliz | Herói que Evolui | Guerra de Gorilas | Guerra de Gorilas vs Robô | Equilibrista | Balão | Aventura com câmera","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:28"
"sz_g2d_set_position","Mudar a posição do sprite %1 para x %2 y %3","false","Jogo 2D > 🎮 Sprites","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Colocar leitura e alteração da posição juntas; preservar coordenadas e origem.","","","Pong | Jogo desenhado por código | Safári de Monstros | Portas do Castelo | Reino Zero | Vale Ensolarado","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:38"
"sz_g2d_set_velocity","Mudar a velocidade do sprite %1 para vx %2 vy %3","false","Jogo 2D > 🕹️ Movimento","Movimento > Velocidade e gravidade","AJUSTAR","P0","Definir valor, alterar velocidade e mover posição são efeitos distintos. Expor unidades, ordem e frequência sem inserir gravidade implícita.","","","Chuva de números | Pong | Escalada do Guerreiro | Portas do Castelo | Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:53"
"sz_g2d_collides","Guardar em %1 se sprite %2 colide com sprite %3","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","RETIRAR DA OFERTA NOVA","P1","Redundância pedagógica: atribuição de variável mais pergunta touches; manter declaração, escopo e avaliação única nos projetos antigos.","sz_g2d_touches + variável","","Pegue a moeda","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:68"
"sz_g2d_score","Criar pontuação %1 começando em %2","false","Jogo 2D > 🏆 Placar e HUD","Vida e placar > Indicadores e texto na tela","RETIRAR DA OFERTA NOVA","P1","Cria variável; a linguagem já oferece variáveis e incremento. Preservar IR e API anteriores.","sz_js_var_create + sz_js_var_increment","","Plataforma com inimigos | Jogo desenhado por código","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:82"
"sz_g2d_game_over","Mostrar fim de jogo com o texto %1","false","Jogo 2D > 📺 Telas e cenas","Jogo e telas > Telas e partida","AJUSTAR","P0","Somente desenha mensagem e anuncia; não encerra a simulação. Nome proposto: Escrever mensagem de fim de jogo. Oferecer receita de vitória/derrota.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:96"
"sz_g2d_on_start","Quando o jogo começar","true","","Compatibilidade > Blocos históricos","MANTER COMPATIBILIDADE","P1","Compatibilidade já existente; conservar registro, codec e comportamento para projetos históricos.","","","","triagem editorial do catálogo; uso externo não medido","legacy-start","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:107"
"sz_g2d_update_each_frame","A cada quadro do jogo","false","Jogo 2D > ⏱️ Tempo e repetição","Tempo > Quadros e intervalos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino | Desafio primeiro jogo","Chuva de números | Quiz de números | Pegue a moeda | Cenário do meu desenho | Pong | Herói que anda | Mini plataforma | Plataforma com inimigos | Jogo desenhado por código | Sala com paredes | Nave contra Asteroides | Asteroides clássico | Dino Run | Dino Corredor | Batalha de Monstrinhos | Aventura do Herói | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Fazenda Feliz | Herói que Evolui | Guerra de Gorilas | Guerra de Gorilas vs Robô | Equilibrista | Balão | Aventura com câmera","triagem editorial do catálogo; uso externo não medido","loop-update","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:121"
"sz_g2d_clear","Limpar a tela","false","Jogo 2D > ✨ Aparência","Desenho e efeitos > Efeitos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino | Desafio primeiro jogo","Chuva de números | Quiz de números | Pegue a moeda | Cenário do meu desenho | Pong | Herói que anda | Mini plataforma | Plataforma com inimigos | Jogo desenhado por código | Sala com paredes | Nave contra Asteroides | Asteroides clássico | Dino Run | Dino Corredor | Batalha de Monstrinhos | Aventura do Herói | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Fazenda Feliz | Herói que Evolui | Guerra de Gorilas | Guerra de Gorilas vs Robô | Equilibrista | Balão | Aventura com câmera","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:133"
"sz_g2d_set_gravity","Botar a gravidade do mundo em %1","false","Jogo 2D > 🕹️ Movimento","Movimento > Velocidade e gravidade","AJUSTAR","P0","Definir valor, alterar velocidade e mover posição são efeitos distintos. Expor unidades, ordem e frequência sem inserir gravidade implícita.","","","Plataforma com inimigos | Mundo Pirata | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:146"
"sz_g2d_apply_velocity","Mover o sprite %1 usando vx e vy","false","Jogo 2D > 🕹️ Movimento","Movimento > Velocidade e gravidade","AJUSTAR","P0","Definir valor, alterar velocidade e mover posição são efeitos distintos. Expor unidades, ordem e frequência sem inserir gravidade implícita.","","","Pong | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:158"
"sz_g2d_apply_gravity","Aplicar a gravidade do mundo ao sprite %1","false","Jogo 2D > 🕹️ Movimento","Movimento > Velocidade e gravidade","AJUSTAR","P0","Definir valor, alterar velocidade e mover posição são efeitos distintos. Expor unidades, ordem e frequência sem inserir gravidade implícita.","","Corre Dino","Mini plataforma | Plataforma com inimigos | Dino Run | Dino Corredor | Mundo Pirata | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:171"
"sz_g2d_bounce_edges","Quicar o sprite %1 nas bordas da tela","false","Jogo 2D > 🕹️ Movimento","Movimento > Bordas e rebatidas","MANTER / REORGANIZAR","P1","Manter variantes: quatro bordas, par de bordas e raquete têm física e objetivos diferentes.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:182"
"sz_g2d_circle_collides","Guardar em %1 se sprite %2 encosta no sprite %3 (em círculo)","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","RETIRAR APÓS SUBSTITUTO","P1","A geometria circular é útil; retirar somente a forma que obriga guardar numa variável, após oferecer pergunta circular e codec equivalente.","nova pergunta de colisão circular + variável","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:192"
"sz_g2d_set_hitbox_scale","Usar área de colisão de %1 % do tamanho para o sprite %2","false","Jogo 2D > 💥 Colisões","Colisões > Área de contato","AJUSTAR","P1","Mostrar visualização junto da configuração; escala afeta detecção, não toda resolução física.","","Corre Dino","Dino Corredor | Aventura do Herói | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Escalada do Guerreiro | Portas do Castelo | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Herói que Evolui","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:206"
"sz_g2d_play_sound","Tocar som de %1 Hz por %2 ms","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:223"
"sz_g2d_play_fx","Tocar efeito %1","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino","Pegue a moeda | Pong | Plataforma com inimigos | Jogo desenhado por código | Dino Corredor | Batalha de Monstrinhos | Aventura do Herói | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Fazenda Feliz | Herói que Evolui | Aventura com câmera","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:238"
"sz_g2d_play_note","Tocar a nota %1 por %2 ms","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:282"
"sz_g2d_play_music","Tocar música de fundo %1","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","Chuva de Meteoros | Mundo Pirata | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado | Aventura com câmera","catálogo e inspeção direcionada; uso externo não medido","resource-creator","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:309"
"sz_g2d_stop_music","Parar a música de fundo","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","RETIRAR DA OFERTA NOVA","P1","Para somente a melodia sintetizada; stop_track para ambas. Não converter automaticamente código antigo: o alcance é diferente.","sz_g2d_stop_track para autoria nova","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:332"
"sz_g2d_load_sound","Carregar o som %1 do arquivo %2","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:346"
"sz_g2d_play_clip","Tocar o som %1","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:362"
"sz_g2d_stop_clip","Parar o som %1","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:372"
"sz_g2d_play_track","Tocar a música %1 sem parar","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","","catálogo e inspeção direcionada; uso externo não medido","resource-creator","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:382"
"sz_g2d_stop_track","Parar a música","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:394"
"sz_g2d_set_volume","Pôr o volume em %1","false","Jogo 2D > 🔊 Som","Som > Efeitos, melodias e arquivos","AJUSTAR","P0","Nomear música pronta, arquivo e efeito; volume atual só afeta arquivos. Não prometer volume geral sem novo contrato.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:404"
